#  L1   L3   E4frac   E5frac
2.464409564810067454e+00 6.963799301781614659e-01 1.695946360968129119e-01 8.587745979756487014e-01
1.886310972756164217e+00 5.704396371759957729e-01 1.131579434674467866e-02 8.150285645497283848e-01
2.690989578890133238e+00 9.083007536398020054e-01 7.178700885904572004e-01 9.520187225493975669e-01
1.475113538869232688e+00 6.919556487509714859e-01 1.596914773162926293e-01 8.570903872986892491e-01
1.220314873061211003e+00 9.009788602747179631e-01 6.965118401628593858e-01 9.483863673746359968e-01
1.462783808755095505e+00 4.396193961178994636e-01 0.000000000000000000e+00 7.787975145543235556e-01
2.659096233781893748e+00 7.833806563362645248e-01 3.771580845713811136e-01 8.940745041788061842e-01
1.332634188865111646e+00 4.348311975062824075e-01 0.000000000000000000e+00 7.776494490935623727e-01
2.277673211461382685e+00 6.429915768512840524e-01 6.443659027116777072e-02 8.391677943113504679e-01
1.509364765133240471e+00 3.495560099208956939e-01 0.000000000000000000e+00 7.593088970433763407e-01
1.992789800732341243e+00 8.922769511342836246e-01 6.713528424533494743e-01 9.441076262675764941e-01
2.830246734647554163e+00 5.377136204062298308e-01 2.877407412926080710e-03 8.050847688190689855e-01
2.923209616938822197e+00 6.772589972358693533e-01 1.272480686829262631e-01 8.515728007964162849e-01
2.693724053266409957e+00 7.553953609221067955e-01 3.077289344775654412e-01 8.822668255914227764e-01
1.727732028370605910e+00 7.382135879936425615e-01 2.663536086842415163e-01 8.752302055585443608e-01
1.196173923318293975e+00 8.613767802634424431e-01 5.839870805006045495e-01 9.292495034864972636e-01
1.922800138356762556e+00 3.680019629279210891e-01 0.000000000000000000e+00 7.629381505940621144e-01
1.458649053273421314e+00 9.067245383062474406e-01 7.132576056432844425e-01 9.512342866740279845e-01
1.628726836787168786e+00 5.393626765006190871e-01 3.152894505658920821e-03 8.055717824487156342e-01
2.104692252638681094e+00 8.391855868438573562e-01 5.231441999542816301e-01 9.189020748221568002e-01
2.660344715228197821e+00 9.078776218139299470e-01 7.166310902156488583e-01 9.518080085400761892e-01
2.576545076725659023e+00 5.121134369716698886e-01 2.717134499902185141e-04 7.977155736769137029e-01
2.811843290769632020e+00 5.442566492205471729e-01 4.055735854805897489e-03 8.070258932626100945e-01
2.922704959960997328e+00 6.473450985157833681e-01 7.017521190441033951e-02 8.407080859916892246e-01
1.587187621001797444e+00 5.435890364179721823e-01 3.924910731974651235e-03 8.068267566257184553e-01
2.670705062661157925e+00 7.968133445184258923e-01 4.113804391253695902e-01 8.998946325043145622e-01
1.663673819391290110e+00 3.540942469224497846e-01 0.000000000000000000e+00 7.601844919793682154e-01
1.881826272981628634e+00 6.657300447710345903e-01 1.022849488264315765e-01 8.473273722493934734e-01
1.413575802241037405e+00 5.613500389226926401e-01 8.295083598512831280e-03 8.122077818278405914e-01
1.964008942508713718e+00 5.343630813777304756e-01 2.360816154865053029e-03 8.040998515381527767e-01
1.503141271184148309e+00 8.326775490982309957e-01 5.056018678260749688e-01 9.159186850044347405e-01
1.804060561598179291e+00 9.165565036229084139e-01 7.421597787884213204e-01 9.561496222429287650e-01
2.160237039532974634e+00 9.334359807386705121e-01 7.925058397684308087e-01 9.647118775116376721e-01
2.943351062328383616e+00 6.697286477643831226e-01 1.108943964902059376e-01 8.487915640289463992e-01
2.387730573019826608e+00 3.422969688036628377e-01 0.000000000000000000e+00 7.579318388623297320e-01
1.591454681094836676e+00 7.339495225940428913e-01 2.562327739712416674e-01 8.735089751651770040e-01
1.357897299656893209e+00 7.102237322467686020e-01 2.009898661317282009e-01 8.641139228115184423e-01
1.280333700763015115e+00 4.254087358977816091e-01 0.000000000000000000e+00 7.754269418044279494e-01
2.430423889183021657e+00 8.898793791126704544e-01 6.644638770481109402e-01 9.429360335115835046e-01
2.943082098033663385e+00 9.123696463488808472e-01 7.298139323649406318e-01 9.540499884974389389e-01
2.923032634145625419e+00 4.976081970049215930e-01 0.000000000000000000e+00 7.936996467898186358e-01
2.000707435038844295e+00 8.630491451051309770e-01 5.886366432855798525e-01 9.300402454567311405e-01
1.249233007333778733e+00 3.679538112756280399e-01 0.000000000000000000e+00 7.629284338194396442e-01
2.356854111826574449e+00 5.301329444763571708e-01 1.788681095143296318e-03 8.028651622354880946e-01
2.554992790266946034e+00 3.508637832443518012e-01 0.000000000000000000e+00 7.595600568284319731e-01
1.880942462292682027e+00 5.958553059933723306e-01 2.317626064322075852e-02 8.231562924060842334e-01
1.825672643988186072e+00 6.338532505128167127e-01 5.375121159931939285e-02 8.359684277401610020e-01
2.940564909204064215e+00 4.975031673398501164e-01 0.000000000000000000e+00 7.936709889873558854e-01
